Date,Gold_Price,SPY_Open,SPY_Close,Sensex_Open,Sensex_Close
2020-01-02,1524.5,299.06223049537607,300.2915954589844,41340.27,41626.64
2020-01-03,1549.199951171875,296.8622399985499,298.0176696777344,41634.51,41464.61
2020-01-06,1566.199951171875,296.2430177748089,299.1547241210937,41378.34,40676.63
2020-01-07,1571.800048828125,298.58154649187225,298.3135070800781,40983.04,40869.47
2020-01-08,1557.4000244140625,298.5076738215414,299.9034423828125,40574.83,40817.74
2020-01-09,1551.699951171875,301.4840006955028,301.9369201660156,41216.67,41452.35
2020-01-10,1557.5,302.5284720774636,301.0679931640625,41568.2,41599.72
2020-01-13,1548.4000244140625,301.6965757842309,303.1385498046875,41788.21,41859.69
2020-01-14,1542.4000244140625,302.6948378031608,302.6763610839844,41883.09,41952.63
2020-01-15,1552.0999755859375,302.5839062641116,303.3603515625,41969.86,41872.73
2020-01-16,1549.0,304.7561799848659,305.8838806152344,41924.74,41932.56
2020-01-17,1558.800048828125,306.6048210540449,306.8359069824219,41929.02,41945.37
2020-01-21,1556.4000244140625,305.8653755221729,306.235107421875,41487.57,41323.81
2020-01-22,1555.300048828125,307.10390676701644,306.2720031738281,41467.13,41115.38
2020-01-23,1564.5999755859375,305.6157901924544,306.6233215332031,41191.5,41386.4
2020-01-24,1571.0999755859375,307.2888383475858,303.896484375,41377.04,41613.19
2020-01-27,1576.800048828125,298.59076482229733,299.02520751953125,41510.68,41155.12
2020-01-28,1569.199951171875,300.4671571767047,302.1587219238281,41299.68,40966.86
2020-01-29,1569.800048828125,303.53603386827723,301.9091796875,41131.57,41198.66
2020-01-30,1583.5,299.8201487893357,302.88897705078125,41380.14,40913.82
2020-01-31,1582.9000244140625,302.26047315950973,297.3891906738281,41146.56,40723.49
2020-02-03,1577.199951171875,298.8865625739974,299.5982971191406,39701.02,39872.31
2020-02-04,1550.4000244140625,303.24955077686127,304.1646423339844,40178.74,40789.38
2020-02-05,1557.800048828125,307.13173399612566,307.6770935058594,40921.71,41142.66
2020-02-06,1565.0999755859375,308.6475999636579,308.7123107910156,41209.13,41306.03
2020-02-07,1568.5999755859375,307.6401358092892,307.0670471191406,41394.41,41141.85
2020-02-10,1574.699951171875,306.1704360307475,309.3594055175781,41166.72,40979.62
2020-02-11,1565.5999755859375,310.7274727800859,309.89556884765625,41183.39,41216.14
2020-02-12,1567.4000244140625,311.34679358393225,311.8921813964844,41330.85,41565.9
2020-02-13,1575.0999755859375,310.4501023027456,311.559326171875,41707.21,41459.79
2020-02-14,1582.699951171875,311.9752841229601,312.0584716796875,41510.19,41257.74
2020-02-18,1600.0,311.05094621086727,311.2543029785156,41042.46,40894.38
2020-02-19,1607.5,312.2341453132378,312.7425231933594,41121.51,41323.0
2020-02-20,1616.5999755859375,312.18785286258,311.4576416015625,41334.96,41170.12
2020-02-24,1672.4000244140625,298.6925062863302,298.0269775390625,41037.01,40363.23
2020-02-25,1646.9000244140625,299.43197514276005,288.9961242675781,40497.72,40281.2
2020-02-26,1640.0,290.41027862363364,287.9330444335937,40194.89,39888.96
2020-02-27,1640.0,282.3500419743186,275.00152587890625,39947.8,39745.66
2020-02-28,1564.0999755859375,266.85809280681485,273.8461303710937,39087.47,38297.29
2020-03-02,1592.300048828125,275.64857848375703,285.7054443359375,38910.95,38144.02
2020-03-03,1642.0999755859375,286.0844900584087,277.5250549316406,38480.89,38623.7
2020-03-04,1641.0999755859375,282.96011740865407,289.190185546875,38715.72,38409.48
2020-03-05,1666.4000244140625,281.90642163958694,279.5770568847656,38604.25,38470.61
2020-03-06,1670.800048828125,270.9713723296417,274.9552917480469,37613.96,37576.62
2020-03-09,1674.5,254.47190633607215,253.48287963867188,36950.2,35634.95
2020-03-11,1641.4000244140625,259.46329994536006,253.6029357910156,35468.9,35697.4
2020-03-12,1589.300048828125,236.63201558510852,229.3389434814453,34472.5,32778.14
2020-03-13,1515.699951171875,243.1855582502152,248.94422912597656,31214.13,34103.48
2020-03-16,1485.9000244140625,222.9332222160678,221.703857421875,33103.24,31390.07
2020-03-17,1524.9000244140625,226.50120104796665,233.6741180419922,31611.57,30579.09
2020-03-18,1477.300048828125,218.37622475624084,221.84251403808597,30968.84,28869.51
2020-03-19,1478.5999755859375,221.14926615253347,222.31393432617188,27773.36,28288.23
2020-03-20,1484.0,225.49938715430844,212.7335205078125,28460.82,29915.96
2020-03-23,1567.0,212.1663137671841,207.2942657470703,27608.8,25981.24
2020-03-24,1660.199951171875,217.9588519724159,226.0758209228516,27056.23,26674.03
2020-03-25,1632.300048828125,227.6750306967431,229.460205078125,26499.81,28535.78
2020-03-26,1650.0999755859375,231.998494436637,242.8583221435547,29073.71,29946.77
2020-03-27,1623.9000244140625,235.48518783928947,235.6246490478516,30747.81,29815.59
2020-03-30,1622.0,237.74450500141083,243.2766876220703,29226.55,28440.32
2020-03-31,1583.4000244140625,242.2632816984932,239.65060424804688,29294.94,29468.49
2020-04-01,1578.199951171875,230.56662507674423,228.86512756347656,29505.33,28265.31
2020-04-03,1633.699951171875,233.15145785500889,230.76193237304688,28623.53,27590.95
2020-04-07,1664.800048828125,254.9547894699827,246.5124053955078,28898.36,30067.21
